Cycle,Time (real),Time (simulation),Agent,State,Rider,Follower,Leader,Battery Life,Has Target,Last Tag,Next Tag,Read Pheromones,Pheromone To Diffuse,Pheromone Mark
0,2021-08-28 19:49:32,0.0,bike99,seeking_leader,nil,nil,bike(81),96397.83028513406,false,tagRFID(61),tagRFID(62),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike100,idle,nil,nil,nil,90113.47274839507,false,tagRFID(70),tagRFID(201),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike101,idle,nil,nil,nil,97601.08403010585,false,tagRFID(193),tagRFID(285),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike102,idle,nil,nil,nil,90707.78114593196,false,tagRFID(115),tagRFID(122),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike103,idle,nil,nil,nil,94755.5846596626,false,tagRFID(81),tagRFID(82),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike104,idle,nil,nil,nil,91643.39592748815,false,tagRFID(75),tagRFID(56),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike89,idle,nil,nil,nil,75105.9096213576,false,tagRFID(104),tagRFID(179),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike90,idle,nil,nil,nil,98708.69684943883,false,tagRFID(148),tagRFID(149),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike91,idle,nil,nil,nil,78590.360353947,false,tagRFID(106),tagRFID(105),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike92,idle,nil,nil,nil,89728.89763575267,false,tagRFID(67),tagRFID(90),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike93,idle,nil,nil,nil,78270.180945843,false,tagRFID(233),tagRFID(134),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike94,idle,nil,nil,nil,90089.13981847918,false,tagRFID(3),tagRFID(4),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike95,idle,nil,nil,nil,95872.2274853853,false,tagRFID(117),tagRFID(118),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike96,idle,nil,nil,nil,90078.76893859272,false,tagRFID(161),tagRFID(134),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike129,idle,nil,nil,nil,83894.12720921237,false,tagRFID(214),tagRFID(205),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike130,idle,nil,nil,nil,77403.11907605134,false,tagRFID(137),tagRFID(135),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike131,seeking_leader,nil,nil,bike(115),97328.33639265163,false,tagRFID(208),tagRFID(53),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike132,idle,nil,nil,nil,83049.91022994342,false,tagRFID(127),tagRFID(126),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike133,idle,nil,nil,nil,94966.28782247513,false,tagRFID(208),tagRFID(46),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike134,idle,nil,nil,nil,92785.99848513186,false,tagRFID(55),tagRFID(54),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike121,idle,nil,nil,nil,94422.83704191819,false,tagRFID(253),tagRFID(92),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike122,idle,nil,nil,nil,75675.7222019035,false,tagRFID(173),tagRFID(172),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike123,idle,nil,nil,nil,90391.16213270364,false,tagRFID(224),tagRFID(80),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike124,idle,nil,nil,nil,94190.74852107438,false,tagRFID(56),tagRFID(57),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike125,idle,nil,nil,nil,87203.26061506517,false,tagRFID(306),tagRFID(303),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike126,idle,nil,nil,nil,81668.35875154664,false,tagRFID(312),tagRFID(277),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike127,idle,nil,nil,nil,95168.35944578657,false,tagRFID(78),tagRFID(67),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike128,idle,nil,nil,nil,89517.19336079698,false,tagRFID(159),tagRFID(163),0.0,0.0,0.0
